"bill_id","כותרת","סוגיה","מונחים שתפסו","הציר הנוכחי"
"2197782","הצעת חוק-יסוד: השוויון","עיגון חוקתי של הזכות לשוויון ואיסור אפליה","נטייה מינית","האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים?"
"2197887","הצעת חוק-יסוד: כבוד האדם וחירותו (תיקון - הזכות לשוויון)","עיגון חוקתי מפורש של הזכות לשוויון","נטייה מינית","(לא מסווגת)"
"2199083","הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע זהות מגדרית או נטייה מינית), התשפ""ג-2023","הרחבת איסור הפליה לנטייה מינית וזהות מגדרית","נטייה מינית · זהות מגדרית","(לא מסווגת)"
"2199085","הצעת חוק הכשרות לאנשי מקצוע בתחום החינוך בנושא מגדר ונטייה מינית, התשפ""ג-2023","הכשרת אנשי חינוך בנושא מגדר ונטייה מינית","נטייה מינית","(לא מסווגת)"
"2199223","הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - איסור הפליה בדיור), התשפ""ג-2023","איסור הפליה בשירותי דיור","נטייה מינית","(לא מסווגת)"
"2199225","הצעת חוק התגמולים לנפגעי פעולות שנאה, התשפ""ג-2023","תגמולים לנפגעי פגיעות שנאה","נטייה מינית · זהות מגדרית","האם להרחיב זכויות ופיצויים לנפגעי עבירה, איבה ושכול?"
"2199226","הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - איסור הפליה בדיור), התשפ""ג-2023","איסור הפליה במכירה והשכרה של דירות","נטייה מינית","(לא מסווגת)"
"2199914","הצעת חוק איסור טיפול המרה לקטין, התשפ""ג-2023","איסור טיפולי המרה לקטינים","נטייה מינית · זהות מגדרית · טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
"2200274","הצעת חוק שוויון ההזדמנויות בעבודה (תיקון - איסור הפליה מחמת מצב כלכלי), התשפ""ג-2023","איסור הפליה מחמת מצב כלכלי בקבלה לעבודה ובעבודה","נטייה מינית","האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים?"
"2200316","הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע זהות מגדרית, נטייה מינית או אמונה דתית), התשפ""ג-2023","הגדרת הפליה בחקיקה כללית","נטייה מינית · זהות מגדרית","(לא מסווגת)"
"2200325","הצעת חוק התגמולים לנפגעי פעולות שנאה, התשפ""ג-2023","תגמול ממשלתי לנפגעי פשיעת שנאה","נטייה מינית · זהות מגדרית","האם להרחיב זכויות ופיצויים לנפגעי עבירה, איבה ושכול?"
"2200332","הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - איסור הפליה בדיור), התשפ""ד-2023","איסור הפליה במתן שירותי דיור","נטייה מינית","(לא מסווגת)"
"2200444","הצעת חוק איסור הפליה בשל מין, נטיה מינית או זהות מגדרית (תיקוני חקיקה), התשפ""ג-2023","הרחבת איסורי הפליה מחמת נטייה מינית וזהות מגדרית בדברי חקיקה שונים","נטייה מינית · נטיה מינית · זהות מגדרית","(לא מסווגת)"
"2200914","הצעת חוק העונשין (תיקון - הסתה לגזענות), התשפ""ג-2023","הרחבת עבירת ההסתה לגזענות","נטייה מינית · זהות מגדרית","האם להחמיר את האכיפה והענישה הפלילית?"
"2200985","הצעת חוק התגמולים לנפגעי פעולות איבה (תיקון - פשעי שנאה), התשפ""ג-2023","הכרת נפגעי פשעי שנאה כנפגעי פעולות איבה","נטייה מינית · זהות מגדרית","האם להגדיל את התמיכה הכלכלית הישירה והקצבאות?"
"2201153","הצעת חוק תוכנית למניעת אלימות מינית וקידום מיניות בריאה, התשפ""ג-2023","עקרונות היסוד של החינוך הממלכתי והגנה מפני אפליה","נטייה מינית · זהות מגדרית","האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים? | האם להטיל רגולציה וסנקציות על מוסדות חינוך?"
"2201376","הצעת חוק חינוך ממלכתי (תיקון - איסור פעילות שיש בה שנאה בשל נטייה מינית, גזענות והדרת נשים במוסדות חינוך רשמיים), התשפ""ג-2023","מניעת פעילות המסיתה לשנאה ולהפליה במוסדות חינוך","נטייה מינית · זהות מגדרית","(לא מסווגת)"
"2201910","הצעת חוק שריון איסור הפליה על רקע נטייה מינית או זהות מגדרית (תיקוני חקיקה), התשפ""ג-2023","שריון איסורי הפליה מחמת נטייה מינית או זהות מגדרית","נטייה מינית · זהות מגדרית","(לא מסווגת)"
"2205139","הצעת חוק-יסוד: כבוד האדם וחירותו (תיקון - הזכות לשוויון)","עיגון מפורש של הזכות לשוויון בחוק יסוד","נטייה מינית","(לא מסווגת)"
"2206235","הצעת חוק התגמולים לנפגעי פעולות איבה (תיקון - פשעי שנאה), התשפ""ג-2023","הכראה בנפגעי פשעי שנאה כנפגעי פעולות איבה","נטייה מינית · זהות מגדרית","האם להגדיל את התמיכה הכלכלית הישירה והקצבאות?"
"2210799","הצעת חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון - הגדרת אלמן ושכול), התשפ""ד-2023","הכרזה על בני זוג ידועים בציבור ובני זוג מאותו המין כאלמנים של חללי צהל","נטייה מינית · בני זוג מאותו המין","ax_a8619308e6"
"2212595","הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע זהות מגדרית, נטייה מינית או אמונה דתית), התשפ""ד-2023","הגדרת הפליה בחוק הפרשנות","נטייה מינית · זהות מגדרית","האם להחמיר אכיפה וענישה נגד הפליה במקומות ציבוריים?"
"2234029","הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע נטייה מינית או זהות מגדרית), התשפ""ה-2025","הגדרת הפליה על רקע נטייה מינית או זהות מגדרית בחוק הפרשנות","נטייה מינית · זהות מגדרית","(לא מסווגת)"
"2234038","הצעת חוק-יסוד: כבוד האדם וחירותו (תיקון - הזכות לשוויון)","עיגון חוקתי של הזכות לשוויון","נטייה מינית","(לא מסווגת)"
"2234416","הצעת חוק שוויון ההזדמנויות בעבודה (תיקון - איסור הפליה על רקע זהות מגדרית), התשפ""ה-2025","איסור הפליה מחמת זהות מגדרית בעבודה","נטייה מינית · זהות מגדרית","(לא מסווגת)"
"2238833","הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע זהות מגדרית, נטייה מינית או אמונה דתית), התשפ""ו-2026","הגדרת הפליה בחוק הפרשנות","נטייה מינית · זהות מגדרית","האם להחמיר אכיפה וענישה נגד הפליה במקומות ציבוריים?"
"2239174","הצעת חוק התגמולים לנפגעי פעולות שנאה, התשפ""ו-2026","תגמול ממלכתי לנפגעי פגיעות שנאה","נטייה מינית · זהות מגדרית","האם להרחיב זכויות ופיצויים לנפגעי עבירה, איבה ושכול?"
"2240319","הצעת חוק התגמולים לנפגעי פעולות איבה (תיקון - פשעי שנאה), התשפ""ו-2026","הכרזה על נפגעי פשעי שנאה כזכאים לתגמولي נפגעי פעולות איבה","נטייה מינית · זהות מגדרית","האם להגדיל את התמיכה הכלכלית הישירה והקצבאות?"
"2240320","הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע נטייה מינית או זהות מגדרית),  התשפ""ו-2026","הגדרת הפליה מחמת נטייה מינית או זהות מגדרית בחוק הפרשנות","נטייה מינית · זהות מגדרית","האם להחמיר אכיפה וענישה נגד הפליה במקומות ציבוריים?"
"2203679","הצעת חוק שוויון ההזדמנויות בעבודה (תיקון - איסור הפליה על רקע זהות מגדרית), התשפ""ג-2023","איסור הפליה בעבודה מחמת זהות מגדרית","זהות מגדרית","האם להחמיר אכיפה וענישה נגד הפליה במקומות ציבוריים?"
"2205142","הצעת חוק העונשין (תיקון - הגדרת פשע שנאה), התשפ""ג-2023","הרחבת נסיבות מחמירות בעבירות שנאה למין וזהות מגדרית","זהות מגדרית","האם להרחיב הגנה משפטית ואכיפה למניעת הטרדות מיניות?"
"2195751","הצעת חוק בית המשפט לענייני משפחה (תיקון - בני זוג מאותו מין), התשפ""ג-2022","סמכות בית המשפט לענייני משפחה לגבי בני זוג מאותו המין","בני זוג מאותו המין · בני זוג מאותו מין","האם לאפשר מעמד ואזרחות במסגרת איחוד משפחות?"
"2196491","הצעת חוק בית המשפט לענייני משפחה (תיקון - בני זוג מאותו המין), התשפ""ג-2022","סמכות בית המשפט לענייני משפחה לגבי בני זוג מאותו המין","בני זוג מאותו המין","האם לאפשר מעמד ואזרחות במסגרת איחוד משפחות?"
"2204150","הצעת חוק אימוץ ילדים (תיקון - אימוץ על ידי בני הזוג), התשפ""ג-2023","כשירות בני זוג שאינם נשואים לאימוץ ילדים","בני זוג מאותו המין","האם לפתוח את מסגרות האימוץ וההורות לכולם?"
"2234008","הצעת חוק בית המשפט לענייני משפחה (תיקון - בני זוג מאותו המין), התשפ""ה-2025","סמכות בית המשפט לענייני משפחה לגבי בני זוג מאותו המין","בני זוג מאותו המין","האם לאפשר מעמד ואזרחות במסגרת איחוד משפחות?"
"2201157","הצעת חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון - הגדרת אלמן ושכול), התשפ""ג-2023","הכררת בני זוג ידועים בציבור ובני זוג מאותו מין כאלמנים של חללי צהל","בני זוג מאותו מין","ax_a8619308e6"
"2197858","הצעת חוק הירושה (תיקון - בני זוג), התשפ""ג-2023","זכויות ירושה לבני זוג חד-מיניים","זוג חד-מיני","(לא מסווגת)"
"2199224","הצעת חוק איסור טיפול המרה לקטין, התשפ""ג-2023","איסור טיפולי המרה לקטינים","טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
"2200328","הצעת חוק איסור טיפול המרה לקטין, התשפ""ג-2023","איסור טיפולי המרה לקטינים","טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
"2200900","הצעת חוק הפסיכולוגים (תיקון - איסור טיפולי המרה), התשפ""ג-2023","איסור טיפולי המרה לפסיכולוגים","טיפולי המרה","האם לאסור בחוק טיפולי המרה?"
"2204131","הצעת חוק הפסיכולוגים (תיקון - איסור טיפולי המרה), התשפ""ג-2023","איסור טיפולי המרה לפסיכולוגים","טיפולי המרה","האם לאסור בחוק טיפולי המרה?"
"2209838","הצעת חוק איסור טיפול המרה לקטין, התשפ""ד-2023 ","איסור טיפולי המרה לקטינים","טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
"2234004","הצעת חוק איסור טיפולי המרה לקטין, התשפ""ה-2025","איסור טיפולי המרה לקטינים","טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
"2239384","הצעת חוק איסור טיפולי המרה לקטין, התשפ""ו-2026","איסור טיפולי המרה לקטינים","טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
"2240082","הצעת חוק איסור טיפול המרה לקטין, התשפ""ו-2026 ‏  ","איסור טיפולי המרה לקטינים","טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
