שם הסוגיה,מספר חוקים
"הסדרת העיסוק בטיפול באמצעות אמנויות",4
"הסדרת סככות המתנה בתחנות אוטובוס",4
"הקמת חדרי מיון בפריפריה",4
"הקמת רשות זיכרון ממלכתית לאירועי 7 באוקטובר",4
"הקמת רשות לאומית למאבק בעוני",4
"הקצאת מכשור רפואי מתקדם לפריפריה",4
"התיישנות בעבירות מין במשפחה",4
"זכאות עצמאים לגמלת אבל",4
"חובת ביטוח פנסיוני לעובדים זרים בענף הסיעוד המועסקים בידי יחידים",4
"חובת החזקת אפינפרין בבתי אוכל",4
"חינוך חינם לפעוטות בגיל הרך",4
"חינוך חינם לפעוטות בגילאי לידה עד שלוש",4
"מדיניות החזרת גופות מחבלים",4
"מחיקת רישום פלילי בגין עבירות שימוש עצמי בקנאביס",4
"נקודות זיכוי ממס להורי חיילים בשירות סדיר",4
"סמכויות אכיפה של ועדות הכנסת כלפי מוזמנים שאינם מתייצבים",4
"עיגון חוקתי מפורש של הזכות לשוויון",4
"פיזור הכנסת והקדימת בחירות",4
"פיזור הכנסת והקדמת בחירות",4
"פיצוי כספי לנוסעים בגין איחור אוטובוס",4
"שיטת מינוי שופטי בית המשפט העליון",4
"שקיפות דיוני ועדת שרים לענייני חקיקה",4
"תעריף חשמל מופחת לבתי חולים בפריפריה",4
"תקופת התיישנות בתביעות הפליה בעבודה",4
"אגרות העסקת עובדים זרים בסיעוד מוסדי",3
"אחידות מענק לידה מילד שני ואילך",3
"אחריות מזמין שירות לעובדי קבלן בענף הבנייה",3
"איסור דיג מכמורת",3
"איסור התניית תשלום באשראי בסכום רכישה מזערי",3
"איסור מכירת צעצועים המדמים כלי נשק",3
"איסור שימוש ומסחר במלכודות אכזריות לבעלי חיים",3
"אישור הכנסת לתקנות סדרי דין וסמכויות שפיטה",3
"אכיפת השתתפות רשויות מקומיות במפעל ההזנה",3
"אמצעי תשלום בתחבורה ציבורית",3
"ביטול עבירת השוטטות",3
"גביית תשלום עבור שינוי פרטים והסבת כרטיסי טיסה ושיט",3
"גובה אחוז החסימה בבחירות לכנסת",3
"גובה שכר המינימום",3
"גירוש בני משפחה של מחבלים",3
"הארכת חופשת לידה ודמי לידה להורי פעוט עם מוגבלות מורכבת",3
"הגבלת דמי חניה בחניוני בתי חולים",3
"הגבלת מספר השרים וסגני השרים בממשלה",3
"הגבלת שימוש בכרטיסי אשראי לסרבני גט",3
"הגבלת שיעור המס המקסימלי על דלק",3
"הגבלת שעות עבודה של מתמחים ברפואה",3
"הגבלת תעריפי חניה במוסדות רפואיים",3
"הגדרת יהודי במרשם האוכלוסין",3
"הגדרת נהיגה תחת השפעת קנאביס כנהיגה בשכרות",3
"החמרת ענישה בעבירות על רקע הדרת נשים",3
"החמרת ענישה ועונשי מינימום בפשיעה חקלאית",3
"החמרת ענישה על הפרת תנאי בטיחות והכשרה במעונות יום לפעוטות",3
"החמרת ענישה על עבירות אלימות במתחם הר הבית",3
"החמרת ענישה על תקיפת עובדי מערך הבריאות",3
"החמרת ענישה על תקיפת צוות רפואי",3
"הכרה רשמית בשפת הסימנים הישראלית",3
"הכרזה על שמירה חקלאית כעבודה מועדפת",3
"המעמד המשפטי של בעלי חיים",3
"הנחות בתעריפי מים לאוכלוסיות זכאיות",3
"הסדרת עיסוק בטיפול באמצעות אמנויות",3
"העדפה במכרזים ציבוריים למעסיקי אוכלוסיות ייחודיות",3
"העדפה מתקנת ללוחמים במוסדות להשכלה גבוהה",3
"העדפת מעסיקי אוכלוסיות ייחודיות במכרזים ממשלתיים",3
"העלאת דמי ביטוח בריאות ממלכתי",3
"הפללת נטילת דמי חסות והחמרת ענישה",3
"הפללת ניהול כת פוגענית",3
"הפסקת כהונת נבחרי ציבור עקב הגשת כתב אישום",3
"הפרטת תחנת הרדיו הצבאית גלי צהל",3
"הקדימה מועד בחירות והתפזרות הכנסת",3
"הקמת אוניברסיטה חדשה באשדוד",3
"הקמת בחירות מוקדמות והתפזרות הכנסת",3
"הקמת זרם חינוך ממלכתי-חרדי",3
"הקמת מרכז סטטוטורי להנצחת מורשת ארגון אליאנס",3
"הקמת קרן ארנונה עסקית וחלוקת הכנסות בין רשויות מקומיות",3
"הקמת רשות ייעודית לטיפול בנפגעי הלם קרב",3
"הקניית מקרקעין למדינה חלף מס השבחת מטרו",3
"הרחבת הגנת בית המגורים וההגנה העצמית",3
"הרחבת חוק לימוד חובה לגיל הרך",3
"הרחבת עילת הערעור על החלטות ועדות לעררים לבית הדין לעבודה",3
"הרחבת קריטריונים להטבות מס ליישובים מוטבים",3
"הרכב הוועדה לבחירת שופטים",3
"השלמת קצבת אזרח ותיק לנכים לשכר המינימום",3
"התניית חיבור תשתיות באישור תאגיד מים",3
"זכאות לשירותי תמיכה וטיפול בקהילה לילדים עם קשיים נפשיים",3
"זכאות לתג נכה לצמיתות",3
"זכאות מתמחים לדמי אבטלה",3
"חובת בחינה ותקצוב מגדרי",3
"חובת הודעה מוקדמת על אי-כיבוד הרשאה לחיוב חשבון",3
"חובת הקלטת עסקאות טלפוניות ומסירת ההקלטה לצרכן",3
"חובת התקשרות חברות ביטוח עם סוכני ביטוח",3
"חובת מינוי ממלא מקום לראש הממשלה",3
"חובת מינוי ממלא מקום ראש הממשלה",3
"חובת משלוח סיכום פנייה בכתב לצרכן",3
"חזקת מסירת דואר ומועדי תשלום קנסות",3
"חישוב תגמולי מילואים למובטלים בתקופת חירום",3
"ייצוג הולם בחברות ממשלתיות ובתאגידים סטטוטוריים",3
"ייצוג הולם בשמות מקומות ציבוריים",3
"ייצוג הולם לאוכלוסייה הערבית במוסדות התכנון",3
"כפיפות הרשות לשירות ממלכתי-לאומי למשרד הביטחון",3
"מידתיות עיקול נכסים המוחזקים בידי צד שלישי",3
"מימון הוצאות לידת בית",3
"מימון ממשלתי של קורסי הכנה לבחינה הפסיכומטרית לתלמידי תיכון",3
"מימון שכר לימוד לחיילים משוחררים",3
"מיסוי רווחי יתר של בנקים",3
"מעמד ארגון סטודנטים יציג",3
"נטילת זרע מנפטר ושימוש בו",3
"ניכוי ריבית משכנתה ממס הכנסה",3
"נקודות זיכוי במס הכנסה למשפחות אומנה",3
"סבסוד ממשלתי למוצרי מזון לתינוקות ומוצרי הנקה",3
"סמכות בית המשפט לענייני משפחה לגבי בני זוג מאותו המין",3
"סמכות בתי דין דתיים כבוררים בעניינים אזרחיים",3
"סמכות הממונה על שוק ההון לפסוק ריבית מיוחדת",3
"עדיפות למשרתי מילואים בקבלה למעונות יום וסבסוד שכר לימוד",3
"עונש מוות למחבלים",3
"עונש מינימום לעבירות יידוי אבנים",3
"עונש מינימום לעבירת דמי חסות",3
"עונשי מינימום בעבירות יידוי אבנים",3
"עיגון חוקתי של הזכות לשוויון",3
"עיגון חוקתי של זכויות בהליך פלילי",3
"פטור מדמי חניה לאזרחים ותיקים",3
"פטור ממבחן הכנסה לסיוע משפטי להלומי קרב",3
"פטור ממס על תגמול מילואים",3
"פיקוח מחירים על מוצרי מזון בריא",3
"פיקוח ממשלתי על מחירי מוצרי מזון בריא בסיסיים",3
"פיקוח על מחירי שכירות דירות מגורים",3
"פריסת חובות לגופים ציבוריים ללא ריבית ואגרה",3
"פרסום פרטי אסירים ביטחוניים משוחררים",3
"צו למניעת אלימות כלכלית במשפחה",3
"קביעת יום ציון ממלכתי לוועידת סן רמו",3
"קציבת תקופת הכהונה של שופטי בית המשפט העליון",3
"רישוי ופיקוח על שירותי תשלום וייזום תשלום",3
"שינוי שם חוק יישום תכנית ההתנתקות",3
"שיעור גמלת סיעוד בכסף",3
"שכר מינימום לעובדים עם מוגבלות",3
"שעות קבלת קהל בלשכות ההוצאה לפועל",3
"תגמולים ישירים ליתומים ואחים שכולים בגירים",3
"תוספת לגמלת הבטחת הכנסה בגין ילדים נוספים",3
"תחולה למפרע של זכויות קבורה והנצחה לכבאים",3
"תחולה רטרואקטיבית של ביטול התיישנות",3
"תקופת זכאות לדמי לידה חלקיים",3
"תקופת צינון למנכ״ל רשות מקומית בבחירות",3
"תקציב ייעודי לקידום מעמד האישה ברשויות המקומיות",3
"אבטחת בכירים בתאגידים עירוניים",2
"אופן חישוב דמי לידה",2
"אחוז החסימה בבחירות לכנסת",2
"אחוז החסימה בבחירות לרשויות המקומיות",2
"אחידות אמצעי תשלום בעמדות טעינת רכב חשמלי",2
"אחידות מינוחית בחקיקה לגבי שטחי יהודה והשומרון",2
"אחידות תלוש שכר בשירות המדינה",2
"אחריות קופות החולים על שירותי גמילה והתמכרויות",2
"איסור אספקת שירותים חיוניים לגורמים עוינים",2
"איסור הנפת דגל הרשות הפלסטינית",2
"איסור הנפת דגלים של ישויות עוינות בהתקהלות",2
"איסור הפליה בשירותי דיור",2
"איסור הפליה מחמת מוגבלות ודרישת מידע רפואי במוסדות להשכלה גבוהה",2
"איסור הפליה מחמת מוגבלות ומידע רפואי במוסדות להשכלה גבוהה",2
"איסור הפליית מחירים על בסיס מגדר",2
"איסור התנכלות תעסוקתית ועוולה אזרחית",2
"איסור טיפולי המרה לפסיכולוגים",2
"איסור יחסי מסחר עם רצועת עזה",2
"איסור משלוחים חיים לשחיטה",2
"איסור ניתוק שירותים חיוניים עקב אי-תשלום",2
"איסור עישון ברכב פרטי בנוכחות קטינים",2
"איסור פיטורים בעת היעדרות בשל מחלת ילד",2
"איסור פרסום פרטי נפגעים והרוגים בטרם הודעה למשפחה",2
"איסור קבלת תמורה ממדינה זרה לעובדי מדינה ונבחרי ציבור",2
"איסור קשר ושיתוף פעולה עם מוסדות שיפוט בין-לאומיים",2
"איסור שימוש באביזרים חשמליים על בעלי חיים",2
"איסור שימוש במצלמות ניידות לאכיפת חניה",2
"איסור שימוש ומסחר בתנורי הסקה המוסקים בדלק מוצק",2
"איסור תמיכה בטרור והנפת דגלי אויב במוסדות אקדמיים",2
"איסור תעמולת בחירות גזענית",2
"אישור תקציב המדינה והוצאות הממשלה",2
"אכיפת חובת הצגת מחיר לקמעונאים גדולים",2
"אלימות כלכלית כעוולה אזרחית",2
"אסדרת עיסוק בדימותנות רפואית",2
"אספקת ארוחות במוסדות חינוך על-יסודיים לנוער בסיכון",2
"בדיקת פוליגרף שנתית לחברי ועדת השרים לענייני ביטחון לאומי",2
"בוררות חובה בשירותים חיוניים",2
"בחירת מקום אשפוז פסיכיאטרי",2
"בחירת מקום אשפוז פסיכיאטרי והוראות מקדימות",2
"ביטול אזרחות ותושבות לפעילי טרור המקבלים תגמול",2
"ביטול חובת פרישה בגיל פרישה",2
"ביטול מאסר חלף קנס",2
"ביטול מנגנון ממשלת החילופים",2
"ביטול מס גודש בגוש דן",2
"ביטול תיקון 116 לחוק התכנון והבנייה",2
"ביקורת שיפוטית על חוקי-יסוד",2
"בסיס חישוב תגמול מילואים לעצמאים",2
"גובה פיצוי בשל אי תיקוף כרטיס תקופתי",2
"גובה קצבת הילדים",2
"גובה ריבית פיגורים בתשלומי חובה לרשויות המקומיות",2
"גיל הזכאות לדמי אבטלה",2
"גיל זכאות לדמי אבטלה",2
"גיל מרבי להשמת ילדים באומנה",2
"גיל פרישה ותנאי פרישה ללוחמי אש",2
"גיל פרישה לעובדים בענף הבניין",2
"גירוש מסתננים התומכים במשטר ארץ מוצאם",2
"גירוש מסתננים תומכי משטר המוצא",2
"גישת סוכני ביטוח למידע פיננסי ופטור מרישוי",2
"גמול השתתפות והחזר הוצאות לחברי מועצה",2
"גמול והחזר הוצאות לחברי מועצה",2
"גמול כספי לחברי מועצה ברשויות מקומיות",2
"דחיית תשלומי מס לעסקים חדשים",2
"דמי ביטוח בריאות לתושבי הפריפריה",2
"דרישת אישור רפואי למטפלים במעונות יום",2
"הארכה אוטומטית של עסקאות לתקופה קצובה",2
"הארכת הוראת שעה להפצת שידורים ספרתיים",2
"הארכת הוראת שעה לסמכות חיפוש ללא צו",2
"הארכת הצבת חיילי חובה במשטרת ישראל",2
"הארכת חופשת לידה לעובדות בעבודה פיזית קשה",2
"הארכת כהונת נציב תלונות הציבור על שופטים",2
"הארכת תוקף אישורים רגולטוריים בשעת חירום",2
"הארכת תוקף מניעת מפגש עם עורך דין לעצורים ביטחוניים",2
"הארכת תוקף מערך האכיפה והפיקוח העירוני",2
"הארכת תקופת ההתיישנות והתשלום הרטרואקטיבי לתביעות גמלה",2
"הארכת תקופת התיישנות לתביעת גמלה בגין פגיעה מינית בעבודה",2
"הגבלות על תמהיל הלוואות לדיור",2
"הגבלת היתרי שהייה בישראל לעברייני בנייה בשטחי C",2
"הגבלת זכות העמידה בבג״צ",2
"הגבלת זכות העמידה בבית המשפט הגבוה לצדק",2
"הגבלת כהונת ראש הממשלה",2
"הגבלת כהונת ראשי רשויות מקומיות",2
"הגבלת כרטיסי אשראי לסרבני גט",2
"הגבלת מיקום מגורים ועבודה של עברייני טרור ביחס לנפגעי עבירה",2
"הגבלת מכירת משקאות אנרגיה לקטינים",2
"הגבלת מפגשי אסירים ביטחוניים עם עורכי דין",2
"הגבלת משך זמן הגשת כתב אישום בידי התביעה",2
"הגבלת סכום ומספר חיובים בהרשאה לחיוב חשבון",2
"הגבלת עומס התיקים לעובדים סוציאליים",2
"הגבלת עמלת פירעון מוקדם במשכנתאות",2
"הגבלת שטחי מדף לספקים גדולים בענף המזון",2
"הגבלת שיווק ומכירה של גז קצפות לצרכנים",2
"הגבלת שימוש בזיקוקין די-נור באזורי מגורים",2
"הגבלת שכר טרחה בתביעות נפגעי איבה",2
"הגבלת שכר טרחת עורך דין בייצוג עובדים זרים",2
"הגבלת תעריפי חניה בחניוני בתי חולים",2
"הגדלת סכום קצבאות הילדים",2
"הגדלת קצבאות נכות",2
"הגדלת תגמולים לגרושות חללים המגדלות יתומים",2
"הגדרת הפליה בחוק הפרשנות",2
"הגדרת הפליה על רקע נטייה מינית או זהות מגדרית בחוק הפרשנות",2
"הגדרת עבירת הפרת אמונים בשירות הציבורי",2
"הגדרת עבירת נטילת דמי חסות והחמרת ענישה",2
"הגדרת שירות בתי הסוהר כרשות ביטחון",2
"הגנה מפיטורים למשרתי מילואים בחירום",2
"הגנה מפני הטרדה מינית לעובדי קבלן שירות",2
"הגנה מפני הפחתת שכר שופטים",2
"הגנה מפני ניתוק חשמל לצרכנים במצוקה כלכלית",2
"הגנה מפני פיטורים בטיפולי פוריות",2
"הגנה מפני פיטורים לבני זוג של משרתי מילואים",2
"הגנה על זכויות ובטחון אישי של מאושפזים פסיכיאטרים",2
"הגנה על חופש מהתאגדות",2
"הגנה על עיתונאים מפני הטרדה מאיימת",2
"הגנת קצבת נכות מפני עיקול למזונות",2
"הוספת חינוך פיננסי למטרות מערכת החינוך",2
"הוספת עבירות בטיחות לאחריות מנהלית ומזמין שירות",2
"הזכות להישכח לקטינים במרחב הדיגיטלי",2
"החזר הוצאות פינוי באמבולנס למטופלים שנפטרו טרם אשפוז",2
"החזר הוצאות פינוי באמבולנס לקשישים סיעודיים",2
"החזר הוצאות פינוי באמבולנס לקשישים סיעודיים מרותקים",2
"החלת חובת התקנת מצלמות על גני ילדים",2
"החלת חקיקת הכנסת באזור יהודה והשומרון באמצעות צווי אלוף",2
"החלת פקודת המסחר עם האויב על מדינות תומכות טרור",2
"החלת ריבונות ישראלית בבקעת הירדן",2
"החלת ריבונות ישראלית ביהודה ושומרון",2
"החמרת ענישה בגין עבירות בזיקה לארגון פשיעה",2
"החמרת ענישה בעבירות נשק",2
"החמרת ענישה ועונשי מינימום בעבירות אלימות בספורט",2
"החמרת ענישה ועונשי מינימום בעבירות הקשורות לפשיעה חקלאית",2
"החמרת ענישה ועונשי מינימום בעבירות פשיעה חקלאית",2
"החמרת ענישה לעברייני אלימות סדרתיים",2
"החמרת ענישה על החזקת מכשיר לשיבוש קליטת תקשורת",2
"החמרת ענישה על ייבוא וייצוא בלתי חוקי של נשק",2
"החמרת ענישה על פריצה למתקנים ביטחוניים",2
"החמרת ענישה על תקיפת נהגי אוטובוס ציבורי",2
"החמרת ענישה על תקיפת נהגי תחבורה ציבורית",2
"החמרת ענישה על תקיפת צוות רפואי ומטפלים",2
"הטבות מס ליישובים תחת איום מיידי",2
"הטבות מס ליצרני מזון ללא גלוטן",2
"הטלת מס בשיעור אפס על תרופות",2
"הטלת קנסות מינהליים בעבירות תכנון ובנייה",2
"היעדרות עובדים לצורך טיפול בילד שנפגע מעבירת מין או אלימות חמורה",2
"הכללת אשפוז ביתי בסל הבריאות",2
"הכללת חובות עונשיים וקנסות בהפטר חדלות פירעון",2
"הכרה באלימות כלכלית כעוולה נזיקית",2
"הכרה בגיור לצורך חוק השבות",2
"הכרה במדינה פלסטינית וקביעת גבולות",2
"הכרה בניסיון פיקודי צבאי כניסיון ניהולי בשירות המדינה",2
"הכרה בפגיעה מינית כתאונת עבודה",2
"הכרה רשמית בחג המימונה כחג המדינה",2
"הכרת עבודה בחינוך וטיפול בילדים כעבודה מועדפת",2
"הכרת עבודה במעונות יום כעבודה מועדפת",2
"הליך מינוי נציב שירות המדינה",2
"הליך מינוי נציב תלונות הציבור על שופטים",2
"הנגשה דיגיטלית של שירותים ציבוריים",2
"הנגשת תעודות רשמיות לבעלי מוגבלות בראיה",2
"הנהגת עיטור הפציעה הקרבית לאנשי מערכת הביטחון",2
"הנחה בחשמל לאזרחים ותיקים מעוטי יכולת",2
"הנחות בתעריפי מים וביוב לבתי תפילה",2
"הנחות בתעריפי מים לאוכלוסיות נזקקות",2
"הנחות בתשלומי מים וביוב לצרכנים מעוטי יכולת בתאגידי מים",2
"הנחת ארנונה לאזרחים ותיקים המתגוררים בדירה שאינה בהחזקתם",2
"הנחת ארנונה לנכי עבודה",2
"הנפקת תעודות אלקטרוניות מאושרות בידי המדינה",2
"הנצחת יהודים שהצילו יהודים בשואה",2
"הסדרה ופיקוח על מרכזים אקוטיים לנפגעי תקיפה מינית",2
"הסדרה ותקצוב ממשלתי של שנת שירות",2
"הסדרי תנועה ייחודיים בקרבת מוסדות חינוך",2
"הסדרת מגורי רועים בשטחי מרעה",2
"הסדרת מעמד, כשירות ותפקידים של סייעות במוסדות חינוך",2
"הסדרת מקצוע הפודולוגיה ורישוי עוסקים",2
"הסדרת מקצוע הרנטגנאות והדימות בחוק",2
"הסדרת מקצוע טיפול באמצעות אמנויות",2
"הסדרת מקצוע עוזר רופא ורישוי",2
"הסדרת רעיית דבורים במקרקעי ציבור",2
"הסמכת טכנאי מצלמות למתן אישורי התקנה במעונות יום",2
"הסמכת מתנדבים לפיקוח על מעונות יום",2
"העברת אחריות על שירותי סיעוד לקופות החולים",2
"העברת מידע בין רשויות למימוש זכויות",2
"העברת מידע פלילי למוסד לביטוח לאומי לצורך שלילת קצבאות",2
"העברת מידע רפואי בין קופות חולים בעת מעבר מבוטח",2
"העברת משכנתאות בין בנקים",2
"העברת סמכויות הפיקוח על מעונות יום לפעוטות למשרד החינוך",2
"העברת סמכויות חוק צער בעלי חיים למשרד להגנת הסביבה",2
"העברת עודפים מתאגידים סטטוטוריים לאוצר המדינה",2
"העברת רכוש מחולט לנפגע עבירה",2
"העדפה מתקנת ללוחמים בהשכלה גבוהה",2
"העדפת חיילי מילואים ונכי צה״ל ברכישת קרקע בפריפריה",2
"העדפת מעסיקים של אוכלוסיות ייחודיות במכרזים ציבוריים",2
"העדפת עסקים קטנים ובינוניים בפריפריה במכרזים ציבוריים",2
"הערכת מסוכנות בהליכי צו הגנה",2
"הפחתת תקציב לגופים מתוקצבים בשל פעילות עובדיהם נגד עקרונות המדינה",2
"הפיכת איסור צריכת זנות להוראת קבע",2
"הפללת החזקה ומסחר בצעצועים מסוכנים",2
"הפללת העלבת עובד ציבור",2
"הפסקת פעילות אונר״א בשטח ישראל",2
"הפסקת שידורי חדשות ואקטואליה בעברית בתאגיד השידור הציבורי",2
"הפעלת תחבורה ציבורית ביום המנוחה השבועי",2
"הפרדת תפקיד התובע הכללי מהייעוץ המשפטי לממשלה",2
"הפרטת שידור ציבורי וביטול תאגיד השידור",2
"הצבת מערכות צילום ביומטריות במגרשי ספורט",2
"הצמדת קצבאות נכות ואזרח ותיק לשכר המינימום",2
"הצמדת קצבת נכות מעבודה לשכר הממוצע",2
"הצמדת שכר המינימום למדד המחירים לצרכן",2
"הקדימה מועד בחירות ופיזור הכנסת",2
"הקדמת בחירות והתפזרות הכנסת",2
"הקדמת גיל הזכאות למעון יום שיקומי לפעוט עם מוגבלות",2
"הקלות אקדמיות וכלכליות למשרתי מילואים סטודנטים",2
"הקלות במימון בחירות למועמדות נשים לראשות רשות",2
"הקלטת קול במצלמות במוסדות גריאטריים",2
"הקמת המועצה המאסדרת למטרו וסמכויותיה",2
"הקמת הרשות הלאומית לרפואה משפטית",2
"הקמת יישוב עירוני חדש לאוכלוסייה הערבית",2
"הקמת מבני מגורים ומבנים חקלאיים בשטחי מרעה",2
"הקמת מוסד אקדמי מחקרי בפריפריה",2
"הקמת מוסדות להשכלה גבוהה בידי מוסדות ציבוריים",2
"הקמת מועצה לחינוך ממלכתי חרדי",2
"הקמת מועצה לחינוך ממלכתי-חרדי וסמכויותיה",2
"הקמת מרכז הנצחה ממלכתי לאישי ציבור",2
"הקמת מרכז רישום ארצי לתרומות זרע",2
"הקמת קרן סיוע למשפחות משרתי קבע",2
"הקמת רשות זיכרון ממלכתית",2
"הקמת רשות לאומית לשימור תרבות ושפה",2
"הקמת רשות לאומית לתרבות ולשפה המרוקאית יהודית",2
"הקמת רשות סטטוטורית לפיתוח הפריפריה החברתית",2
"הקמת שדה תעופה משלים בנגב",2
"הקפאת ריבית פיגורים בזמן שביתה",2
"הרחבת הגדרת עבירת סחיטה באיומים",2
"הרחבת הגדרת תוכן פוגעני באינטרנט",2
"הרחבת הגישה לצילומי אבטחה במעונות יום לפעוטות",2
"הרחבת הגנת בית מגורים לרכב ולחצרים",2
"הרחבת הנחה בארנונה לאזרחים ותיקים לכל שטח הדירה",2
"הרחבת זכאות לארוחה יומית במוסדות חינוך",2
"הרחבת זכאות לארוחות יומיות במוסדות חינוך",2
"הרחבת חובת הצבת מכשירי החייאה במקומות עבודה ובנייני משרדים",2
"הרחבת עבירת הגזענות לקבוצות דתיות",2
"הרחבת עבירת החזקה בתנאי עבדות לנישואין בכפייה",2
"השוואת זכויות נכים ונספים לכבאי אש",2
"השוואת זכויות קצבת שאירים לאלמנים ואלמנות",2
"השוואת תנאי שכר לקבוצות מוגנות ומסגרות העסקה נפרדות",2
"התאמות אקדמיות וזכויות לסטודנטים חולי מחלה קשה",2
"התגברות הפרלמנט על חוקי היסוד",2
"התיישנות בעבירות מין",2
"התניית הפניות לעבודה בקיומה של תחבורה ציבורית נגישה",2
"התניית זכות הבחירה בשירות צבאי או לאומי",2
"התניית סבסוד לימודים בשירות",2
"התניית סבסוד מוסדות לימוד בשירות",2
"התפזרות הכנסת והקדמת בחירות",2
"התרת ברית זוגיות אזרחית",2
"התרת האזנת סתר בידי אחראי בשל חשד להתעללות",2
"התרת הפעלת גני ילדים ומעונות יום באזורי מגורים",2
"התרת מגורים ומבנים חקלאיים בשטחי מרעה",2
"התרת שימושים חורגים בקרקע חקלאית",2
"זיכוי ממס בגין תרומות לבתי חולים בפריפריה",2
"זכאות לדיור ציבורי לנשים ששהו במקלט לנשים מוכות",2
"זכאות לדמי אבטלה בהתפטרות לצורך טיפול בילד",2
"זכאות לדמי אבטלה בחופשה ללא תשלום לאחר לידה בנסיבות מוצדקות",2
"זכאות לדמי לידה למשרתות מילואים בהריון",2
"זכאות לדמי לידה לעצמאיות בעבודה חלקית",2
"זכאות לדמי מחלה בגין ליווי בן משפחה לבדיקה רפואית",2
"זכאות לדמי מחלה עבור ליווי בני משפחה לבדיקות רפואיות",2
"זכאות למענק עבודה לרוכשי דירה בקבוצת רכישה",2
"זכאות לפיצוי בגין מעצר שווא",2
"זכאות לקצבת שאירים לאחר נישואים מחדש",2
"זכאות לשילוב פעוטות עם צורך במענים ייחודיים במעונות יום",2
"זכאות לשירותי בריאות לסטודנטים הלומדים בחוץ לארץ",2
"זכאות לשכר ביום הבחירות",2
"זכאות מתמחים לדמי אבטלה לקראת בחינות הסמכה",2
"זכאות נשים יוצאות מקלט לנשים מוכות לדיור ציבורי",2
"זכאות עצמאים לדמי פגיעה בעבודה מהיום הראשון",2
"זכאות עקרות בית לקצבת אזרח ותיק",2
"זכאות קטינים נפגעי אלימות במשפחה לטיפול נפשי במימון המדינה",2
"זכאות תומכי לחימה למימון שכר לימוד במסגרת קרן ממדים ללימודים",2
"זכויות דייר ממשיך בדיור הציבורי",2
"זכויות נפגעי איבה לבני משפחה של חטופים ששוחררו או שגופתם הושבה",2
"זכויות סוציאליות לבני משפחה של חטופים ששוחררו",2
"זכות הערעור של המדינה בהליך פלילי",2
"זכות קדימה לחוכר לדורות",2
"חובות מניעת הטרדה מינית במוסדות חינוך",2
"חובת אבטחה במוסדות חינוך",2
"חובת בדיקת פוליגרף לחברי ועדת השרים לענייני ביטחון לאומי",2
