תחום,מספר סוגיות
"בריאות ורגולציה מקצועית",7
"בריאות ותחבורה",7
"דיני עבודה וביטחון סוציאלי",7
"דיני ראיות",7
"הגנת הסביבה ורווחת בעלי חיים",7
"זיכרון לאומי והיסטוריה",7
"מיסוי ובריאות",7
"ממשל ורגולציה",7
"מקרקעין ודיור",7
"מקרקעין ותכנון",7
"משטר ומשפט",7
"משטר ורשויות שלטון",7
"משפחה ומעמד אישי",7
"משפט אזרחי וזכויות אדם",7
"משפט ומינהל ציבורי",7
"משפט מנהלי וכלכלי",7
"עבודה ושירות ציבורי",7
"צרכנות ותעופה",7
"צרכנות פיננסית",7
"רווחה וביטחון פנים",7
"רווחה וביטחון תזונתי",7
"רווחה ובריאות הנפש",7
"רווחה ודיור",7
"שלטון מקומי ואכיפה",7
"שלטון מקומי ותחבורה",7
"תחבורה ציבורית ונגישות",7
"אזרחות ומעמד",6
"איכות הסביבה",6
"ביטוח ופיננסים",6
"ביטחון סוציאלי ורווחה",6
"בנקאות וצרכנות פיננסית",6
"בריאות וצרכנות",6
"בריאות ורגולציה",6
"בריאות ציבורית",6
"בתי סוהר ומאסר",6
"דיור ומקרקעין",6
"דיור ונדל״ן",6
"הגנה על בעלי חיים",6
"זכויות אסירים",6
"כלכלה ופיננסים",6
"כלכלה וצרכנות",6
"כלכלה ותעסוקה",6
"מיסוי ועידוד השקעות",6
"ממשל ומינהל",6
"מקרקעין וקניין",6
"משטר ומינהל ציבורי",6
"משטר ורשויות השלטון",6
"משפט חוקתי ובחירות",6
"משפט מינהלי",6
"משפט מינהלי וציבורי",6
"משפט מנהלי ואכיפת חוק",6
"משפט מנהלי ורגולציה",6
"משפט מסחרי",6
"משפט פלילי ומינהלי",6
"משפט פלילי ורווחה",6
"עלייה וקליטה",6
"צרכנות ובנקאות",6
"צרכנות ומשפט מנהלי",6
"צרכנות ותחרות",6
"קניין ומקרקעין",6
"רווחה ונזיקין",6
"רווחה וצרכנות",6
"רווחה ושלטון מקומי",6
"רווחה כלכלית",6
"רכש ממשלתי",6
"שוק ההון וביטוח",6
"שוק ההון ובנקאות",6
"שוק ההון וחיסכון ארוך טווח",6
"שוק ההון ושירותים פיננסיים",6
"שירות ציבורי",6
"שירותים פיננסיים וביטוח",6
"שלטון מקומי ומגדר",6
"שלטון מקומי ומיסוי",6
"תקציב ומינהל ציבורי",6
"תקציב וממשל",6
"תקשורת ורגולציה",6
"איכות סביבה ושלטון מקומי",5
"אכיפת חוק",5
"אכיפת חוק ומשפט פלילי",5
"אנרגיה ותשתיות",5
"בחירות",5
"בטחון פנים",5
"ביטחון ופנים",5
"ביטחון וציבור",5
"ביטחון לאומי והגירה",5
"ביטחון לאומי וסייבר",5
"דיני ירושה",5
"דיני משפחה ובתי דין דתיים",5
"דיני עבודה ובטיחות",5
"דיני עבודה ותעסוקה",5
"הגירה וביטחון פנים",5
"הגירה ועבודה",5
"השכלה גבוהה וביטחון",5
"זיכרון לאומי והנצחה",5
"כלכלה ובנקים",5
"מיסוי ורשויות מקומיות",5
"מיסים וכלכלה",5
"ממשל ופרלמנט",5
"מרשם אוכלוסין ומעמד אישי",5
"משפחה ורווחה",5
"משפט בינלאומי ויחסי חוץ",5
"משפט מנהלי ודיוני",5
"משפט פלילי ונוער",5
"משפט ציבורי ובחירות",5
"סדר דין פלילי",5
"עבודה ומקצועות חופשיים",5
"צרכנות ומקרקעין",5
"רווחה ביטחון סוציאלי",5
"רווחה וביטוח סוציאלי",5
"רווחה ומשפט פלילי",5
"רווחה וסבסוד מעונות יום",5
"רווחה ופיצויים",5
"רישוי עסקים",5
"שלטון מקומי וכלכלה",5
"תחבורה ובריאות",5
"תחבורה וחניה",5
"תחבורה ומיסוי",5
"תעסוקה וביטחון סוציאלי",5
"תקשורת וצרכנות",5
"תקשורת ושידורים",5
"תרבות והנצחה",5
"תשתיות ואנרגיה",5
"אכיפה וענישה",4
"אכיפה מינהלית",4
"אכיפת דיני עבודה",4
"אכיפת חוק ומיסוי",4
"אנרגיה וסביבה",4
"אנרגיה וצרכנות",4
"אנרגיה ותחבורה",4
"בחרות וממשל",4
"ביטחון לאומי וזכויות חשודים",4
"ביטחון פנים ורישוי",4
"בריאות הציבור ומזון",4
"בריאות וביטחון",4
"בריאות וכלכלה",4
"בריאות וציבור",4
"בריאות ורפואת חירום",4
"דיור ונדל""ן",4
"דיור ושכירות",4
"דיני חברות והגבלים עסקיים",4
"דת ופנים",4
"השכלה גבוהה וחינוך",4
"השכלה גבוהה ופיתוח אזורי",4
"זיכרון לאומי וציבורי",4
"חינוך וביטחון",4
"טכנולוגיה ומידע",4
"כלכלה ובנקאות",4
"כלכלה וחקלאות",4
"מימון מפלגות ובחירות",4
"מינהל ציבורי ואכיפת חוק",4
"מינהל ציבורי ושירות לציבור",4
"מינהל ציבורי ותעסוקה",4
"ממשל ופוליטיקה",4
"ממשל וציבור",4
"מרשם אוכלוסין",4
"משטר ומשפטי",4
"משטרה וביטחון פנים",4
"משפט אזרחי ומסחרי",4
"משפט פלילי וממשל",4
"משפט ציבורי וזכויות אדם",4
"משפטים ומינהל ציבורי",4
"נגישות ורווחה",4
"נגישות ושוויון זכויות",4
"עבודה הרווחה",4
"עבודה ושכר",4
"צרכנות ובטיחות",4
"צרכנות ומסחר",4
"צרכנות ותיירות",4
"קניין רוחני ותחרות",4
"רווחה הביטחון הסוציאלי",4
"רווחה ובטחון ציבורי",4
"רווחה וביטחון חברתי",4
"רווחה ובריאות הציבור",4
"רווחה ודיור ציבורי",4
"רווחה והגירה",4
"רווחה וכלכלה",4
"רווחה ומדיניות חברתית",4
"רווחה ונגישות",4
"רווחה ושיקום",4
"רווחה ושיקום נכים",4
"רווחה ותשתיות",4
"שלטון מקומי ומשק המים",4
"שלטון מקומי ותקציב המדינה",4
"תחבורה ובטיחות דרכים",4
"תחבורה וביטחון",4
"תחבורה ותקשורת",4
"תעבורה ובטיחות בדרכים",4
"תעסוקה ושוויון זכויות",4
"תעסוקה ושירות ציבורי",4
"איכות הסביבה ובריאות הציבור",3
"איכות סביבה ובריאות הציבור",3
"איכות סביבה וצרכנות",3
"אכיפה וגבייה",3
"אכיפת חוק ורגולציה",3
"ביטחון",3
"ביטחון הציבור",3
"ביטחון וכלכלה",3
"ביטחון ושיקום",3
"ביטחון חוץ ומדיניות",3
"ביטחון לאומי ופיצוי נפגעי טרור",3
"ביטחון לאומי ופלילי",3
"ביטחון פנים וחירום",3
"ביטחון פנים וצבא",3
"ביטחון פנים ושירותי חירום",3
"ביקורת המדינה ומנהל ציבורי",3
"בריאות הנפש ורווחת קטינים",3
"בריאות וחינוך",3
"בריאות וחירום",3
"בריאות ומשפט פלילי",3
"בריאות ורווחה תעסוקתית",3
"בריאות ורוקחות",3
"בריאות ותעסוקה",3
"דיור",3
"דיני חברות וממשל תאגידי",3
"דיני מכרזים ושוק העבודה",3
"דיני מכרזים ותעסוקה",3
"דיני עבודה ובטיחות עבודה",3
"דת ומשפט",3
"דת ופיתוח שירותי דת",3
"הגירה ומעמד",3
"הגנת קטינים ברשת",3
"הוצאה לפועל ומשפט אזרחי",3
"השכלה גבוהה ותעסוקה",3
"זיכרון והנצחה ממלכתית",3
"זכויות אזרח ומניעת הפליה",3
"חינוך וחברה",3
"חינוך ועבודה",3
"חקלאות וביטחון פנים",3
"חקלאות ומים",3
"חקלאות ומשק המים",3
"חקלאות וסביבה",3
"יחסים בינלאומיים וביטחון",3
"ירושה ועיזבונות",3
"כלכלה ורווחה",3
"מימון מפלגות ושוויון מגדרי",3
"מינהל ציבורי וממשל",3
"מינהל ציבורי ופיקוח פרלמנטרי",3
"מינהל ציבורי ותקציב",3
"מיסוי וביטחון",3
"מיסוי וחיסכון",3
"מיסוי ורגולציה כלכלית",3
"מיסום ואכיפה כלכלית",3
"מיסים ושקיפות בין־לאומית",3
"ממשל וחוץ",3
"ממשל ורשויות מקומיות",3
"מנהל ציבורי ומשטר",3
"מסים וחיסכון ארוך טווח",3
"מסים ורווחה",3
"מעמד אישי ודיני משפחה",3
"מעמד וזהות",3
"מעמד מיעוטים וזכויות יסוד",3
"מערכת המשפט הדתי",3
"מקרקעין ותכנון ובנייה",3
"משטר ומשלחת",3
"משטר ומשפטי חוקתי",3
"משטר ופוליטיקה",3
"משטר וקונסטיטוציה",3
"משפט אזרחי ומעמד אישי",3
"משפט אזרחי וראייתי",3
"משפט ומינהל",3
"משפט מינהלי ודיוני",3
"משפט מנהלי וביטחון",3
"משפט מנהלי ונזיקין",3
"משפט מנהלי ופלילי",3
"משפט מנהלי וקניין",3
"משפט משמעתי",3
"משפט משמעתי ואכיפת חוק",3
"משפט נזיקין",3
"משפט פלילי ואזרחי",3
"משפט פלילי ואכיפה כלכלית",3
"משפט פלילי וביטחון הציבור",3
"משפט פלילי ובינלאומי",3
"משפט פלילי וטכנולוגיה",3
"משפט פלילי וכלכלי",3
"משפט פלילי ומעצרים",3
"משפט פלילי וציבורי",3
"משפט פלילי ותעבורה",3
"משפט ציבורי ואכיפת חוק",3
"משפטים",3
"משפטים וממשל",3
"מששר מנהלי ורשויות מקומיות",3
"סיוע משפטי",3
"סיוע משפטי וזכויות נפגעי עבירה",3
"סייבר ואבטחת מידע",3
"ספורט ותרבות",3
"עבודה ובטיחות",3
"פיננסים וביטוח",3
"פיצויים ואוצר המדינה",3
"פיקוח פרלמנטרי וממשל",3
"פיקוח פרלמנטרי ושקיפות",3
"פיתוח אזורי ושלטון מקומי",3
"צרכנות ואנרגיה",3
"צרכנות ומזון",3
"צרכנות ומנהל ציבורי",3
"צרכנות ומשפט אזרחי",3
"צרכנות נדל״ן",3
"צרכנות תעופה",3
"רגולציה ומנהל ציבורי",3
"רגולציה ופיקוח",3
"רגולציה ורישוי",3
"רגולציה ממשלתית",3
"רגולציה פיננסית",3
"רווחה ובטחון פנים",3
"רווחה ובטיחות פעוטות",3
"רווחה והטבות לחיילים משוחררים",3
"רווחה והשכלה גבוהה",3
"רווחה וזכויות אדם",3
"רווחה וזכויות חברתיות",3
"רווחה וזכויות נפגעי עבירה",3
"רווחה וחיילים משוחררים",3
"רווחה ומדיניות ציבורית",3
"רווחה וסיוע משפטי",3
"רווחה ופיצוי נפגעי עבירה",3
"רווחה ושירותי דת",3
"רישוי עסקים וצרכנות",3
"שוק ההון וחיסכון פנסיוני",3
"שירותי דת ושלטון מקומי",3
"שלטון מקומי ואיכות סביבה",3
"תחבורה וכלכלה",3
"תחבורה ותחרות",3
"תכנון ובנייה ושלטון מקומי",3
"תעסוקה",3
"תעסוקה וכלכלה",3
"תעסוקה ומנהל ציבורי",3
"תקציב המדינה ומינהל ציבורי",3
"תקציב ושלטון מקומי",3
"תקשורת ותרבות",3
"תשתיות ומשק המים",3
"תשתיות ושלטון מקומי",3
"תשתיות ותכנון ובנייה",3
"איכות הסביבה ובטחון ציבורי",2
"איכות סביבה והגנה על חיות בר",2
"איכות סביבה ומשאבי טבע",2
"איכות סביבה ועתודות טבע",2
"איכות סביבה ורווחת בעלי חיים",2
"איסור הלבנת הון",2
"אכיפה ורגולציה",2
"אכיפה מינהלית ורגולציה",2
"אכיפת חוק וביטחון",2
"אכיפת חוק וזכויות אזרח",2
"אכיפת חוק ומינהל ציבורי",2
"אכיפת חוק ומערכת המשפט",2
"אכיפת חוק ומשטרה",2
"אכיפת חוק וסדר ציבורי",2
"אכיפת חוק וסמכויות שלטוניות",2
"אכיפת חוק ופרטיות",2
"אנרגיה",2
"אנרגיה ובטיחות",2
"אנרגיה ובריאות",2
"אנרגיה וכלכלה",2
"אנרגיה ומשק החשמל",2
"אנרגיה ורגולציית יבוא",2
"בחירות ומימון מפלגות",2
"בחירות ושלטון מקומי",2
"בטחון ומשטר",2
"בטיחות ימית ואכיפת חוק",2
"ביטוח וכלכלה",2
"ביטוח וצרכנות פיננסית",2
"ביטוח ותעבורה",2
"ביטחון הפנים ואכיפת החוק",2
"ביטחון ובריאות נפשית",2
"ביטחון וגמלאות",2
"ביטחון ודת",2
"ביטחון וחירום",2
"ביטחון ומעמד אזרחי",2
"ביטחון ומשפט פלילי",2
"ביטחון ומשפט צבאי",2
"ביטחון ופנסיה",2
"ביטחון ורווחת חיילים",2
"ביטחון לאומי וחוץ",2
"ביטחון לאומי וחירום",2
"ביטחון לאומי וכלכלה",2
"ביטחון לאומי ומאבק בטרור",2
"ביטחון לאומי ומודיעין",2
"ביטחון לאומי ומעצר",2
"ביטחון לאומי ומשטר",2
"ביטחון לאומי ומשטר ציבורי",2
"ביטחון לאומי ומשפט מנהלי",2
"ביטחון לאומי ושיכון",2
"ביטחון סוציאלי ופיצויים",2
"ביטחון סוציאלי ותעסוקה",2
"ביטחון פנים והתגוננות אזרחית",2
"ביטחון פנים וזכויות אדם",2
"ביטחון פנים ומיגון",2
"ביטחון פנים ומשטרה",2
"ביטחון פנים ומשפט פלילי",2
"ביטחון פנים וציבורי",2
"ביטחון פנים ורישוי נשק",2
"ביטחון פנים ושלטון מקומי",2
"ביטחון ציבורי",2
"ביקורת המדינה ומערכת המשפט",2
"ביקורת מדינה ופיקוח פרלמנטרי",2
"בנקאות ומשפט",2
"בריאות הציבור ובטיחות",2
"בריאות הציבור ורגולציית מזון",2
"בריאות הציבור ותעסוקה",2
"בריאות ובטחון",2
"בריאות וביטוח",2
"בריאות ובריאות הנפש",2
"בריאות ומשפט",2
"בריאות ונפש",2
"בריאות ורגולציית מקצועות",2
"בריאות ורגולציית מקצועות רפואיים",2
"בתי סוהר ומאסרים",2
"גבייה ממשלתית ואכיפה",2
"דיור ובינוי",2
"דיור ורווחה",2
"דיני ביטוח וצרכנות",2
"דיני משפחה וירושה",2
"דיני משפחה ורווחה",2
"דיני עבודה ומשפט פלילי",2
"דיני עבודה ושוויון בעבודה",2
"דיני עבודה ושיוויון בעבודה",2
"דיני עבודה ושירות ציבורי",2
"דיני עבודה ושכר",2
"דת וגוף שלטוני",2
"דת ופיתוח מוסדי",2
"דת ופיתוח שירותים דתיים",2
"דת ושטח",2
"הגירה ואכיפת חוק",2
"הגירה ובטחון לאומי",2
"הגירה וביטחון לאומי",2
"הגירה ופליטים",2
"הגירה ופלילים",2
"הגירה ופנים",2
"הגירה ותעסוקה",2
"הגנה אזרחית",2
"הגנת הסביבה וצער בעלי חיים",2
"הגנת הפרטיות ואבטחת מידע",2
"הגנת פרטיות ומידע",2
"הנצחה ממלכתית",2
"הפללה ואכיפת חוק",2
"השכלה גבוהה וזכויות אדם",2
"השכלה גבוהה וזכויות משרתים",2
"השכלה גבוהה ומחקר",2
"השכלה גבוהה ושוויון זכויות",2
"השכלה גבוהה ותקציבים",2
"התיישבות ותשתיות",2
"זיכרון הסטורי ולאומי",2
"זיכרון הציבור והנצחה",2
"זיכרון השואה והמורשת",2
"זיכרון ומורשת",2
"זיכרון ושואה",2
"זכויות אדם ומשפט חוקתי",2
"זכויות אדם ומשפט מינהלי",2
"זכויות אזרח ואכיפת חוק",2
"זכויות אזרח ונגישות",2
"זכויות אזרח ושווויון",2
"זכויות אנשים עם מוגבלות",2
"זכויות אסירים ושירות בתי הסוהר",2
"זכויות משרتים ומנהל ציבורי",2
"זכויות עצורים ואסירים",2
"חברה ותרבות",2
"חדלות פירעון ורווחה",2
"חופש המידע",2
"חינוך ובטיחות",2
"חינוך ובריאות",2
"חינוך והכשרה מקצועית",2
"חינוך ורשויות מקומיות",2
"חקלאות וביטחון מזון",2
"חקלאות ומשאבי טבע",2
"טכנולוגיה וממשל",2
"טכנולוגיה ופרטיות",2
"טכנולוגיה ותקשורת",2
"יחסי חוץ ומשפט חוקתי",2
"כליאה ובטחון",2
"כליאה וביטחון",2
"כלכלה ומסים",2
"כלכלה ורישוי עסקים",2
"כשרות משפטית ואפוטרופסות",2
"מדיניות חוץ וביטחון",2
"מדיניות מס",2
"מדע ורפואה",2
"מורשת וזיכרון לאומי",2
"מידע ציבורי ושקיפות",2
"מימון מפלגות",2
"מינהל ציבורי והגנת פרטיות",2
"מינהל ציבורי ורגולציה",2
"מינהל ציבורי ושירותי אזרח",2
"מינהל ציבורי ושלטון מקומי",2
"מיסוי וביטחון סוציאלי",2
"מיסוי ודיור",2
"מיסוי ועידוד תעשייה",2
"מיסוי ופיננסים",2
"מיסוי ופיצויים",2
"מיסוי ושלטון מקומי",2
"מיסוי עירוני",2
"מיסים ורגולציה עסקית",2
"ממשל ודיגיטציה",2
"ממשל וטכנולוגיה",2
"ממשל ופיקוח פרלמנטרי",2
"ממשל ושיטת בחירות",2
"ממשל ושלטון",2
"ממשל ושלטון מקומי",2
"ממשל מקומי",2
"ממשל תאגידי ושירות ציבורי",2
"מנהל ציבורי ואכיפת חוק",2
"מנהל ציבורי וחקיקה",2
"מנהל ציבורי וטכנולוגיה",2
"מנהל ציבורי ומינויים",2
"מנהל ציבורי ומשילות",2
"מנהל ציבורי ורגולציה",2
"מסחר וכלכלה",2
"מסים וחיסכון פנסיוני",2
"מסים וכלכלה",2
"מסים ושוק ההון",2
"מעמד אישי וזכויות אזרחיות",2
"מעמד אישי ומשפחה",2
"מעמד וביטחון",2
"מעמד לשוני וזכויות מיעוטים",2
"מעמד מיעוטים ודת",2
"מעמד מיעוטים וזכויות חוקתיות",2
"מקרקעי ציבור ואכיפה",2
"מקרקעין ובתים משותפים",2
"מקרקעין ורגולציה",2
"מרשם אוכלוסין וזכויות נפגעי עבירה",2
"משטר ומוסדות שלטון",2
"משטר ומינהל",2
"משטר ומשפטים",2
"משטר ומשפר",2
"משפחה וקטינים",2
"משפחתי ופלילי",2
"משפט אזרחי והוצאה לפועל",2
"משפט אזרחי וכלכלה",2
"משפט אזרחי וכלכלי",2
"משפט אזרחי ופלילי",2
"משפט אזרחי וצרכנות",2
"משפט וזכויות נפגעי עבירה",2
"משפט ומשפחה",2
"משפט ופלילים",2
"משפט חוקתי והגירה",2
"משפט חוקתי וזכויות אדם",2
"משפט מינהלי וביטחוני",2
"משפט מינהלי וזכויות אדם",2
"משפט מנהלי ואכיפה",2
"משפט מנהלי וביקורת שיפוטית",2
"משפט מנהלי וגביית חובות",2
"משפט מנהלי וגישה לערכאות",2
"משפט מנהלי וזכויות אדם",2
"משפט מנהלי וזכויות דיוניות",2
"משפט מנהלי וזכויות האדם",2
"משפט מנהלי ומיסוי",2
"משפט מנהלי ומשמעתי",2
"משפט מנהלי ופיננסי",2
"משפט מנהלי ורגולציה מקצועית",2
"משפט פלילי ובטחון",2
"משפט פלילי וביטחון פנים",2
"משפט פלילי והגירה",2
"משפט פלילי והגנה על חסרי ישע",2
"משפט פלילי ומורשת",2
"משפט פלילי ומינהל ציבורי",2
"משפט פלילי וסדרי דין",2
"משפט צבאי ופלילי",2
"משפט ציבורי ומנהל ציבורי",2
"משפט ציבורי ומנהל תקין",2
"משפט ציבורי ופרלמנטרי",2
"משפטי חוקה ומינהל",2
"משפטי משמעת ומנהל ציבורי",2
"משפטים וענישה",2
"נדל""ן ודיור",2
"נדל""ן ופינוי בינוי",2
"נדל""ן וצרכנות",2
"נדל""ן ושכירות",2
"נדלן ותכנון בנייה",2
"נדל״ן וקניין",2
"נזיקין",2
"נזיקין וטרור",2
"סביבה וכלכלה",2
"סדר דין וראיות",2
"ספורט ואכיפת חוק",2
"ספורט ובריאות",2
"עבודה",2
"עבודה וגימלאות",2
"עבודה וזרים",2
"עבודה ומנהל ציבורי",2
"עבודה רווחה",2
"עבודה רווחה ובריאות",2
"עבודה רווחה וזכויות חברתיות",2
"עובדים זרים",2
"עמותות ומוסדות ללא כוונת רווח",2
"פיננסים וצרכנות",2
"פיצויים ונזיקין",2
"פיתוח אזורי",2
"פלילי וכלכלי",2
"פלילי ומנהלי",2
"פנסיה וביטוח סוציאלי",2
"צבא ביטחון ודת",2
"צרכנות וחקלאות",2
"צרכנות ושירות ציבורי",2
"צרכנות ושקיפות",2
"צרכנות ושקיפות מסחרית",2
"קניין ונדלן",2
"רגולציה ורישוי עסקים",2
"רגולציה כלכלית",2
"רגולציה של מוסדות ללא כוונת רווח",2
"רווחה ואיכות סביבה",2
"רווחה ובטיחות ילדים",2
"רווחה והבטחת הכנסה",2
"רווחה והטבות סוציאליות",2
"רווחה וזכויות קטינים",2
"רווחה וחקלאות",2
"רווחה ומילואים",2
"רווחה ומנהל ציבורי",2
"רווחה ומענקים",2
"רווחה ומשפט ציבורי",2
"רווחה ונפגעים",2
"רווחה ושיקום חטופים",2
"רווחה ושירותי חברה",2
"רווחה ושירותי ציבור",2
"רווחה ושירותים עירוניים",2
"רווחה ושירותים ציבוריים",2
"רווחה ותקציב",2
"רווחה ותקציב המדינה",2
"רווחה חברתית",2
"רווחה סוציאלית",2
"רווחה סטודנטיאלית",2
"רווחה פיננסית",2
"רישוי עסקים ובטיחות ציבורית",2
"רישוי עסקים ומסחר",2
"רישוי עסקים ותחבורה",2
"רכש ממשלתי וכלכלה",2
"רכש ממשלתי ומכרזים",2
"רכש ציבורי",2
"רכש ציבורי ומנהל תקין",2
"רכש ציבורי ותעשייה מקומית",2
"שוק Capital ודיני חברות",2
"שוק ההון והביטוח",2
"שוק ההון והסדרה פיננסית",2
"שוק ההון והשקעות",2
"שיקום אסירים",2
"שירות הציבור",2
"שירות פרישה וגמלאות",2
"שירות ציבורי וזכויות חיילים",2
"שירותי דת וקבורה",2
"שירותים פיננסיים ובנקאות",2
"שלטון מקומי וביטחון",2
"שלטון מקומי ומינהל ציבורי",2
"שלטון מקומי ומיסים",2
"שלטון מקומי ומנהל ציבורי",2
"שלטון מקומי ומקרקעין",2
"שלטון מקומי ותחבורה ציבורית",2
"שלטון מקומי ותכנון",2
"שלטון מקומי ותכנון ובנייה",2
"שלטון מקומי ותכנון חופים",2
"שלטון מקומי ותעבורה",2
"שלטון מקומי ותקצוב",2
"שלטון מקומי ותשתיות",2
"שקיפות ומינהל ציבורי",2
"שקיפות ציבורית ורגולציה של עמותות",2
"תחבורה ואיכות סביבה",2
"תחבורה ואכיפה",2
"תחבורה ורכב",2
"תחבורה ציבורית והטבות לחיילים",2
"תיירות וכלכלה",2
"תכנון ובנייה ואכיפת חוק",2
"תכנון ובנייה וממשל",2
"תכנון ובנייה וממשל מקומי",2
"תעבורה",2
"תעבורה וצרכנות",2
"תעמולת בחירות",2
"תעסוקה ומגזר ציבורי",2
"תעסוקה ופיקוח",2
"תעסוקה ופנסיה",2
"תעסוקה ושוויון בעבודה",2
"תעסוקה ושיקום",2
"תעסוקה ושירות הציבור",2
"תעסוקה ושכר",2
"תקציב המדינה ומדיניות פיסקלית",2
"תקציב ומיסוי",2
"תקציב ופיקוח פרלמנטרי",2
"תקציבים ומינהל ציבורי",2
"תקשורת ואינטרנט",2
"תקשורת ואכיפת חוק",2
"תקשורת וביטחון לאומי",2
"תקשורת והנגשה",2
"תקשורת ורגולציה כלכלית",2
"תקשורת ושקיפות",2
"תרבות",2
"תרבות וזיכרון לאומי",2
"תרבות ושפה",2
"תרבות ותקשורת",2
"תשתיות ורשויות מקומיות",2
"תשתיות ושירותים חיוניים",2
"תשתיות ושירותים ציבוריים",2
"אבטחת מידע וביטחון לאומי",1
